block_id,vol_id,tile_idx,d,h,w,density,target,path
0,0,0,14,14,14,1.000000,GPU,blocks/blk_0000000.npy
1,0,1,14,14,14,1.000000,GPU,blocks/blk_0000001.npy
2,0,2,14,14,14,0.358236,GPU,blocks/blk_0000002.npy
3,0,3,14,14,14,0.364067,GPU,blocks/blk_0000003.npy
4,0,4,14,14,14,1.000000,GPU,blocks/blk_0000004.npy
5,0,5,14,14,14,1.000000,GPU,blocks/blk_0000005.npy
6,0,6,14,14,14,0.420554,GPU,blocks/blk_0000006.npy
7,0,7,14,14,14,0.725583,GPU,blocks/blk_0000007.npy
8,1,0,14,14,14,1.000000,GPU,blocks/blk_0000008.npy
9,1,1,14,14,14,0.990160,GPU,blocks/blk_0000009.npy
10,1,2,14,14,14,0.951895,GPU,blocks/blk_0000010.npy
11,1,3,14,14,14,0.986152,GPU,blocks/blk_0000011.npy
12,1,4,14,14,14,1.000000,GPU,blocks/blk_0000012.npy
13,1,5,14,14,14,0.995627,GPU,blocks/blk_0000013.npy
14,1,6,14,14,14,0.965379,GPU,blocks/blk_0000014.npy
15,1,7,14,14,14,0.937318,GPU,blocks/blk_0000015.npy
16,2,0,14,14,14,0.998178,GPU,blocks/blk_0000016.npy
17,2,1,14,14,14,1.000000,GPU,blocks/blk_0000017.npy
18,2,2,14,14,14,1.000000,GPU,blocks/blk_0000018.npy
19,2,3,14,14,14,1.000000,GPU,blocks/blk_0000019.npy
20,2,4,14,14,14,1.000000,GPU,blocks/blk_0000020.npy
21,2,5,14,14,14,1.000000,GPU,blocks/blk_0000021.npy
22,2,6,14,14,14,1.000000,GPU,blocks/blk_0000022.npy
23,2,7,14,14,14,1.000000,GPU,blocks/blk_0000023.npy
24,3,0,14,14,14,0.916910,GPU,blocks/blk_0000024.npy
25,3,1,14,14,14,0.831997,GPU,blocks/blk_0000025.npy
26,3,2,14,14,14,0.987245,GPU,blocks/blk_0000026.npy
27,3,3,14,14,14,0.708090,GPU,blocks/blk_0000027.npy
28,3,4,14,14,14,0.975219,GPU,blocks/blk_0000028.npy
29,3,5,14,14,14,0.924563,GPU,blocks/blk_0000029.npy
30,3,6,14,14,14,0.999636,GPU,blocks/blk_0000030.npy
31,3,7,14,14,14,0.677843,GPU,blocks/blk_0000031.npy
32,4,0,14,14,14,0.950437,GPU,blocks/blk_0000032.npy
33,4,1,14,14,14,0.913994,GPU,blocks/blk_0000033.npy
34,4,2,14,14,14,0.649417,GPU,blocks/blk_0000034.npy
35,4,3,14,14,14,0.829082,GPU,blocks/blk_0000035.npy
36,4,4,14,14,14,0.920918,GPU,blocks/blk_0000036.npy
37,4,5,14,14,14,0.682945,GPU,blocks/blk_0000037.npy
38,4,6,14,14,14,0.693878,GPU,blocks/blk_0000038.npy
39,4,7,14,14,14,0.446429,GPU,blocks/blk_0000039.npy
40,5,0,14,14,14,1.000000,GPU,blocks/blk_0000040.npy
41,5,1,14,14,14,1.000000,GPU,blocks/blk_0000041.npy
42,5,2,14,14,14,0.858236,GPU,blocks/blk_0000042.npy
43,5,3,14,14,14,0.943149,GPU,blocks/blk_0000043.npy
44,5,4,14,14,14,0.996720,GPU,blocks/blk_0000044.npy
45,5,5,14,14,14,0.999636,GPU,blocks/blk_0000045.npy
46,5,6,14,14,14,0.981050,GPU,blocks/blk_0000046.npy
47,5,7,14,14,14,0.945335,GPU,blocks/blk_0000047.npy
48,6,0,14,14,14,0.971574,GPU,blocks/blk_0000048.npy
49,6,1,14,14,14,0.730685,GPU,blocks/blk_0000049.npy
50,6,2,14,14,14,0.708090,GPU,blocks/blk_0000050.npy
51,6,3,14,14,14,0.655248,GPU,blocks/blk_0000051.npy
52,6,4,14,14,14,0.887391,GPU,blocks/blk_0000052.npy
53,6,5,14,14,14,0.750000,GPU,blocks/blk_0000053.npy
54,6,6,14,14,14,0.706997,GPU,blocks/blk_0000054.npy
55,6,7,14,14,14,0.759475,GPU,blocks/blk_0000055.npy
56,7,0,14,14,14,1.000000,GPU,blocks/blk_0000056.npy
57,7,1,14,14,14,0.999271,GPU,blocks/blk_0000057.npy
58,7,2,14,14,14,1.000000,GPU,blocks/blk_0000058.npy
59,7,3,14,14,14,1.000000,GPU,blocks/blk_0000059.npy
60,7,4,14,14,14,0.997813,GPU,blocks/blk_0000060.npy
61,7,5,14,14,14,0.997813,GPU,blocks/blk_0000061.npy
62,7,6,14,14,14,0.985423,GPU,blocks/blk_0000062.npy
63,7,7,14,14,14,0.971574,GPU,blocks/blk_0000063.npy
64,8,0,14,14,14,1.000000,GPU,blocks/blk_0000064.npy
65,8,1,14,14,14,0.999636,GPU,blocks/blk_0000065.npy
66,8,2,14,14,14,1.000000,GPU,blocks/blk_0000066.npy
67,8,3,14,14,14,0.999271,GPU,blocks/blk_0000067.npy
68,8,4,14,14,14,1.000000,GPU,blocks/blk_0000068.npy
69,8,5,14,14,14,1.000000,GPU,blocks/blk_0000069.npy
70,8,6,14,14,14,1.000000,GPU,blocks/blk_0000070.npy
71,8,7,14,14,14,1.000000,GPU,blocks/blk_0000071.npy
72,9,0,14,14,14,0.959184,GPU,blocks/blk_0000072.npy
73,9,1,14,14,14,0.862245,GPU,blocks/blk_0000073.npy
74,9,2,14,14,14,0.998907,GPU,blocks/blk_0000074.npy
75,9,3,14,14,14,0.764942,GPU,blocks/blk_0000075.npy
76,9,4,14,14,14,0.978863,GPU,blocks/blk_0000076.npy
77,9,5,14,14,14,0.991254,GPU,blocks/blk_0000077.npy
78,9,6,14,14,14,0.999636,GPU,blocks/blk_0000078.npy
79,9,7,14,14,14,0.761297,GPU,blocks/blk_0000079.npy
80,10,0,14,14,14,0.998178,GPU,blocks/blk_0000080.npy
81,10,1,14,14,14,1.000000,GPU,blocks/blk_0000081.npy
82,10,2,14,14,14,1.000000,GPU,blocks/blk_0000082.npy
83,10,3,14,14,14,0.998178,GPU,blocks/blk_0000083.npy
84,10,4,14,14,14,1.000000,GPU,blocks/blk_0000084.npy
85,10,5,14,14,14,0.999271,GPU,blocks/blk_0000085.npy
86,10,6,14,14,14,1.000000,GPU,blocks/blk_0000086.npy
87,10,7,14,14,14,1.000000,GPU,blocks/blk_0000087.npy
88,11,0,14,14,14,1.000000,GPU,blocks/blk_0000088.npy
89,11,1,14,14,14,1.000000,GPU,blocks/blk_0000089.npy
90,11,2,14,14,14,1.000000,GPU,blocks/blk_0000090.npy
91,11,3,14,14,14,1.000000,GPU,blocks/blk_0000091.npy
92,11,4,14,14,14,0.928571,GPU,blocks/blk_0000092.npy
93,11,5,14,14,14,0.928571,GPU,blocks/blk_0000093.npy
94,11,6,14,14,14,0.928571,GPU,blocks/blk_0000094.npy
95,11,7,14,14,14,0.928571,GPU,blocks/blk_0000095.npy
96,12,0,14,14,14,0.978863,GPU,blocks/blk_0000096.npy
97,12,1,14,14,14,0.983236,GPU,blocks/blk_0000097.npy
98,12,2,14,14,14,0.878280,GPU,blocks/blk_0000098.npy
99,12,3,14,14,14,0.986880,GPU,blocks/blk_0000099.npy
100,12,4,14,14,14,0.999636,GPU,blocks/blk_0000100.npy
